iso3c,year,ChildMortality,GDPpc
BLZ,2021,11.2,9740.0709476213
BLZ,2007,20.3,10142.569109727
BLZ,2006,20.6,9840.06527936784
BLZ,2013,16.9,9278.691133596
BLZ,2014,16.1,9191.04275988395
BLZ,2011,18.4,9588.60890907548
BLZ,2004,21.3,9192.02833346928
BLZ,2005,20.9,9405.61662239633
BLZ,2020,11.7,8010.94498292588
BEN,2004,124.4,1979.29289911841
BEN,2008,113.8,2294.86987751056
BEN,2005,121.6,2011.39667736316
BEN,2006,118.9,2090.28425488276
BEN,2010,109.1,2302.6877910018
BEN,2021,83.5,3665.19380352655
BEN,2001,133.6,1802.32459760145
BEN,2002,130.5,1858.76676518554
BEN,2003,127.4,1902.50292259119
BEN,2000,136.8,1724.54671037395
BEN,2018,91.1,3113.25475826838
BEN,2019,88.6,3290.30700011152
BEN,2009,111.4,2294.60279263052
BEN,2007,116.3,2210.7927096781
BEN,2014,100.1,2745.85861163361
BEN,2011,106.9,2350.35645152303
BEN,2012,104.6,2427.43265922317
BEN,2017,93.4,2933.83738431719
BEN,2013,102.3,2590.92504537631
BEN,2015,97.9,2792.60964526702
BEN,2016,95.6,2901.26467091701
BEN,2020,86,3364.9730117672
BMU,2013,,68993.2274876771
BMU,2014,,68775.4467426718
BMU,2007,,75627.2475293548
BMU,2012,,67453.8205236015
BMU,2006,,71656.7235772631
BMU,2020,,80381.4454933195
BMU,2008,,75193.3463873599
BMU,2016,,76362.0514142141
BMU,2011,,69998.8434204712
BMU,2010,,70627.8221941123
BMU,2021,,86699.2519910027
BMU,2019,,85145.9436381068
BMU,2005,,66239.4667912365
BMU,2001,,58484.1524018877
BMU,2017,,81834.9558735543
BMU,2015,,71873.2280578182
BMU,2009,,71022.3078466874
BMU,2018,,83380.8749006674
BMU,2000,,53921.7736769822
BMU,2002,,58138.3998128493
BMU,2004,,63578.1922805251
BMU,2003,,60908.0397060905
BTN,2007,50.9,5476.79777123722
BTN,2004,61.2,3871.06395173199
BTN,2003,64.9,3642.27689413495
BTN,2020,27.5,11802.3159251515
BTN,2001,72.9,3091.691290103
BTN,2002,68.8,3395.99311642714
BTN,2005,57.6,4197.3026652619
BTN,2018,29.6,12218.5073478581
BTN,2006,54.1,4561.34767578357
BTN,2015,33.2,9839.28726903094
BTN,2017,30.6,11619.0645094045
BTN,2008,47.8,5780.84517126121
BTN,2009,45,6139.82065993963
BTN,2014,34.7,8949.74096746514
BTN,2010,42.4,6878.60268495998
BTN,2000,77.1,2866.75203053985
BTN,2013,36.3,8233.16878369864
BTN,2019,28.5,13061.5902726007
